version,trigger_name,name,ra,dec,trigger_time,trigger_type,reliability,__row
1,bn200427783,SGR200427783,293.473,21.89,58966.782705793,SGR,1.0,8409
1,bn200520591,SGR200520591,293.72,21.89,58989.590855515,SGR,1.0,8410
1,bn200520908,SGR200520908,293.72,21.89,58989.907726247,SGR,1.0,8411
2,bn200427768,SGR200427768,293.73,21.89,58966.768288835,SGR,1.0,8428
1,bn200427776,SGR200427776,293.73,21.89,58966.775532692,SGR,1.0,8429
2,bn200427818,SGR200427818,293.73,21.89,58966.817816966,SGR,1.0,8430
1,bn200427885,SGR200427885,293.73,21.89,58966.885250229,SGR,1.0,8431
1,bn200427905,SGR200427905,293.73,21.89,58966.904935243,SGR,1.0,8432
1,bn200427916,SGR200427916,293.73,21.89,58966.916233157,SGR,1.0,8433
1,bn200427955,SGR200427955,293.73,21.89,58966.955092655,SGR,1.0,8434
1,bn200427963,SGR200427963,293.73,21.89,58966.962571249,SGR,1.0,8435
1,bn200427976,SGR200427976,293.73,21.89,58966.975745132,SGR,1.0,8436
1,bn200427988,SGR200427988,293.73,21.89,58966.987976273,SGR,1.0,8437
1,bn200428014,SGR200428014,293.73,21.89,58967.013706355,SGR,1.0,8438
1,bn200428028,SGR200428028,293.73,21.89,58967.027542125,SGR,1.0,8439
1,bn200428035,SGR200428035,293.73,21.89,58967.034568911,SGR,1.0,8440
1,bn200428044,SGR200428044,293.73,21.89,58967.044481059,SGR,1.0,8441
0,bn200428083,SGR200428083,293.73,21.89,58967.083468329,SGR,1.0,8442
0,bn200428158,SGR200428158,293.73,21.89,58967.158242563,SGR,1.0,8443
1,bn200428173,SGR200428173,293.73,21.89,58967.173464522,SGR,1.0,8444
1,bn200428248,SGR200428248,293.73,21.89,58967.247576387,SGR,1.0,8445
1,bn200428410,SGR200428410,293.73,21.89,58967.410474168,SGR,1.0,8446
1,bn200429866,SGR200429866,293.73,21.89,58968.866296044,SGR,1.0,8447
1,bn200519773,SGR200519773,293.73,21.89,58988.772578741,SGR,1.0,8448
1,bn200410405,SGR200410405,293.732,21.8967,58949.405489596,SGR,1.0,8563
1,bn200427843,SGR200427843,293.732,21.8967,58966.842804434,SGR,1.0,8564
2,bn200503976,SGR200503976,293.732,21.8967,58972.975850278,SGR,1.0,8565
2,bn200510911,SGR200510911,293.732,21.8967,58979.910605245,SGR,1.0,8566
1,bn200427835,SGR200427835,293.73,21.9,58966.834560025,SGR,1.0,8631
